Workload,Throughput
W1,100,204.0816326531
W2,200,227.2727272727
W3,400,166.6666666667
W4,800,220.9944751381
W5,1600,156.4027370479
W6,3200,142.2222222222
W7,6400,193.0036188179
W8,12800,219.2531688935
W9,25600,177.5065871585
W10,51200,239.4985499111
W11,102400,230.1951263376
W12,204800,151.4300079856
W13,409600,138.6040782626
W14,819200,98.4505337745
