Workload,DSpace,FileBased
100,5.5,24.6673583984
200,4,47.8742675782
400,12.25,97.3832397461
800,5,191.902282715
1600,7.5,386.9901123048
3200,9,768.3469238283
6400,6.5,1531.0562744125
12800,11.75,3093.1226806625
25600,30,6172.2185668925
51200,12,12487.0630493
102400,15.75,25108.742065425
204800,26.75,49301.45025635
409600,37.5,100267.334777925
819200,45.25,7365254.0037825
1638400,89.75,18664713.649575
